Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,68.059998,70.360001,67.860001,69.150002,69.150002,12799600
2020-08-17,69.139999,70.779999,68.379997,69.760002,69.760002,8749100
2020-08-18,68.279999,69.699997,65.230003,67.029999,67.029999,11329200
2020-08-19,66.739998,69.169998,66.599998,68.0,68.0,8558800
2020-08-20,67.790001,68.0,66.629997,67.809998,67.809998,6346700
2020-08-21,67.5,68.019997,65.599998,66.449997,66.449997,6935600
2020-08-24,67.150002,67.849998,62.880001,64.879997,64.879997,13143200
2020-08-25,64.32,66.695999,63.549999,66.25,66.25,7798500
2020-08-26,67.620003,71.639999,66.029999,70.5,70.5,28768100
2020-08-27,69.980003,70.32,67.010002,68.029999,68.029999,9262600
2020-08-28,68.040001,68.949997,67.150002,67.489998,67.489998,6368200
2020-08-31,67.139999,67.199997,62.540001,64.889999,64.889999,15271800
2020-09-01,63.540001,64.5,62.5,63.32,63.32,8183600
2020-09-02,62.84,64.889999,61.381001,64.720001,64.720001,9874600
2020-09-03,65.650002,69.349998,64.300003,64.839996,64.839996,14307300
2020-09-04,64.989998,65.0,59.009998,62.599998,62.599998,11653300
2020-09-08,57.75,58.599998,54.209999,54.34,54.34,17706200
2020-09-09,56.029999,57.189999,54.509998,56.900002,56.900002,9355400
2020-09-10,57.041,60.32,56.869999,57.560001,57.560001,7985300
2020-09-11,58.490002,59.509998,57.450001,59.34,59.34,4821900
2020-09-14,60.150002,63.849998,60.115002,63.669998,63.669998,8930800
2020-09-15,65.027,68.410004,64.228996,66.879997,66.879997,9101200
2020-09-16,67.639999,70.040001,66.730003,68.839996,68.839996,11345200
2020-09-17,68.5,70.900002,64.599998,67.889999,67.889999,13275200
2020-09-18,68.279999,70.0,66.099998,69.870003,69.870003,13206200
2020-09-21,68.599998,69.480003,65.459999,69.260002,69.260002,8223000
2020-09-22,67.5,69.190002,66.669998,68.720001,68.720001,6303600
2020-09-23,67.864998,68.620003,65.769997,67.160004,67.160004,6919400
2020-09-24,65.5,66.769997,63.639999,65.169998,65.169998,5565200
2020-09-25,65.887001,69.730003,65.669998,69.470001,69.470001,9190600
2020-09-28,69.589996,71.5,69.099998,70.550003,70.550003,7337400
2020-09-29,70.459999,71.339996,69.584999,70.519997,70.519997,6027600
2020-09-30,72.510002,75.389999,70.160004,70.75,70.75,15690700
2020-10-01,69.57,70.199997,68.160004,70.029999,70.029999,6839000
2020-10-02,67.900002,72.769997,67.25,68.809998,68.809998,8004900
2020-10-05,69.639999,72.019997,69.050003,71.949997,71.949997,6518100
2020-10-06,72.0,73.919998,70.309998,71.040001,71.040001,7285500
2020-10-07,71.230003,73.239998,70.959,72.370003,72.370003,4190600
2020-10-08,73.5,73.760002,72.010002,72.93,72.93,4023800
2020-10-09,73.419998,73.669998,72.389999,73.0,73.0,4774000
2020-10-12,73.610001,75.850998,72.919998,75.309998,75.309998,7590800
2020-10-13,75.93,81.370003,75.519997,78.290001,78.290001,13669200
2020-10-14,80.010002,80.010002,76.324997,76.559998,76.559998,6634600
2020-10-15,75.480003,76.489998,73.709999,75.580002,75.580002,5009100
2020-10-16,76.059998,76.93,73.665001,73.940002,73.940002,4693600
2020-10-19,73.970001,74.089996,70.5,70.959999,70.959999,6931300
2020-10-20,72.07,73.099998,70.650002,71.309998,71.309998,5441300
2020-10-21,71.57,71.578003,68.059998,68.370003,68.370003,4614800
2020-10-22,68.503998,72.529999,68.400002,70.839996,70.839996,5212100
2020-10-23,72.300003,72.400002,68.800003,70.529999,70.529999,3735100
2020-10-26,70.360001,71.32,68.699997,70.239998,70.239998,3872800
2020-10-27,70.449997,71.349998,68.809998,70.669998,70.669998,3812900
2020-10-28,68.949997,69.470001,65.489998,65.739998,65.739998,6044000
2020-10-29,68.349998,74.539001,66.230003,71.279999,71.279999,13776400
2020-10-30,70.800003,71.489998,66.849998,67.470001,67.470001,7070500
2020-11-02,68.019997,68.599998,66.550003,67.110001,67.110001,4650300
2020-11-03,66.75,69.25,66.589996,69.080002,69.080002,4366900
2020-11-04,68.970001,71.550003,68.918999,69.809998,69.809998,5442100
2020-11-05,71.089996,71.589996,70.160004,71.480003,71.480003,4449900
2020-11-06,71.419998,74.160004,70.870003,72.449997,72.449997,5841000
2020-11-09,77.75,80.25,75.419998,77.739998,77.739998,20266800
2020-11-10,80.0,80.379997,73.519997,76.050003,76.050003,10499400
2020-11-11,77.050003,83.980003,76.129997,82.440002,82.440002,18576500
2020-11-12,85.18,87.93,83.830002,87.809998,87.809998,21700100
2020-11-13,86.620003,90.529999,85.220001,89.389999,89.389999,14121100
2020-11-16,100.309998,103.199997,93.300003,97.949997,97.949997,70853100
2020-11-17,97.230003,97.800003,91.599998,93.150002,93.150002,26172000
2020-11-18,93.870003,94.0,88.610001,88.889999,88.889999,21823500
2020-11-19,90.0,94.650002,89.511002,92.769997,92.769997,16002000
2020-11-20,95.0,98.43,94.82,97.610001,97.610001,15306300
2020-11-23,100.769997,101.769997,98.620003,101.029999,101.029999,16359600
2020-11-24,98.400002,99.889999,93.540001,98.559998,98.559998,12515300
2020-11-25,99.029999,109.290001,98.650002,109.18,109.18,25850700
2020-11-27,115.120003,130.059998,114.860001,127.029999,127.029999,43438500
2020-11-30,144.0,153.869995,141.050003,152.740005,152.740005,73203100
2020-12-01,177.660004,178.5,130.330002,141.009995,141.009995,125130400
2020-12-02,138.630005,149.800003,128.100006,143.0,143.0,51217300
2020-12-03,143.5,159.110001,143.009995,157.259995,157.259995,38656500
2020-12-04,157.589996,157.820007,148.509995,152.520004,152.520004,27704800
2020-12-07,155.029999,163.979996,152.970001,159.520004,159.520004,31409800
2020-12-08,165.75,170.509995,164.300003,169.860001,169.860001,27738700
2020-12-09,170.199997,170.800003,147.199997,156.589996,156.589996,40951700
2020-12-10,151.130005,159.5,148.009995,155.690002,155.690002,22060000
2020-12-11,159.699997,163.75,155.889999,156.929993,156.929993,22069900
2020-12-14,163.399994,163.761002,152.561005,155.070007,155.070007,22467700
2020-12-15,157.0,157.279999,142.460007,147.220001,147.220001,36451300
2020-12-16,137.75,141.334,134.309998,137.029999,137.029999,28476300
2020-12-17,137.919998,146.970001,137.300003,144.0,144.0,32404500
2020-12-18,141.509995,145.0,135.059998,140.229996,140.229996,33157800
2020-12-21,140.839996,147.259995,137.789993,138.300003,138.300003,23921000
2020-12-22,139.0,141.399994,123.0,125.879997,125.879997,36035800
2020-12-23,120.050003,132.0,115.0,130.339996,130.339996,41905000
2020-12-24,125.940002,129.699997,122.720001,123.389999,123.389999,12720600
2020-12-28,120.040001,122.879997,111.050003,111.400002,111.400002,31088200
2020-12-29,107.795998,116.25,106.879997,114.389999,114.389999,23718800
2020-12-30,118.400002,118.941002,108.800003,111.129997,111.129997,23965500
2020-12-31,110.550003,113.550003,102.660004,104.470001,104.470001,23369900
2021-01-04,107.230003,113.629997,103.260002,111.730003,111.730003,22439600
2021-01-05,113.82,114.980003,107.199997,109.18,109.18,15450800
2021-01-06,111.110001,116.93,110.279999,116.260002,116.260002,21590900
2021-01-07,120.099998,122.82,112.129997,115.089996,115.089996,20614100
2021-01-08,116.519997,117.709999,111.489998,112.75,112.75,12376900
2021-01-11,112.75,121.239998,112.620003,117.260002,117.260002,16650600
2021-01-12,117.93,124.910004,117.120003,124.550003,124.550003,15276200
2021-01-13,123.699997,127.580002,120.739998,124.059998,124.059998,14324600
2021-01-14,122.800003,130.979996,122.800003,129.720001,129.720001,13346700
2021-01-15,129.600006,133.289993,126.580002,129.649994,129.649994,15769500
2021-01-19,122.099998,126.360001,120.5,125.010002,125.010002,16528900
2021-01-20,124.510002,126.010002,122.25,125.139999,125.139999,8001600
2021-01-21,125.279999,137.0,125.25,132.979996,132.979996,20880800
2021-01-22,132.5,135.869995,128.899994,131.020004,131.020004,10067200
2021-01-25,138.399994,147.429993,137.25,147.0,147.0,26970900
2021-01-26,145.149994,154.550003,145.0,151.929993,151.929993,16964700
2021-01-27,151.199997,164.550003,149.0,155.729996,155.729996,20262900
2021-01-28,154.104996,168.0,153.619995,159.550003,159.550003,16497400
2021-01-29,174.990005,185.979996,166.199997,173.160004,173.160004,39687300
2021-02-01,173.029999,174.5,154.300003,157.479996,157.479996,22056500
2021-02-02,158.520004,159.054001,147.100006,158.580002,158.580002,14923900
2021-02-03,156.600006,168.389999,156.399994,165.860001,165.860001,11355900
2021-02-04,166.419998,173.729996,164.25,173.309998,173.309998,10618300
2021-02-05,170.990005,177.5,170.259995,176.240005,176.240005,8990000
2021-02-08,177.0,189.259995,176.809998,185.979996,185.979996,12927400
2021-02-09,186.210007,187.0,177.270004,179.520004,179.520004,8403100
2021-02-10,182.740005,185.220001,176.369995,179.339996,179.339996,7067500
2021-02-11,178.289993,184.220001,176.199997,183.440002,183.440002,5464100
2021-02-12,184.889999,185.0,177.580002,183.740005,183.740005,5705500
2021-02-16,182.410004,184.179993,173.509003,178.529999,178.529999,6917500
2021-02-17,174.279999,178.009995,171.619995,176.759995,176.759995,6554600
2021-02-18,171.593002,175.470001,168.0,169.570007,169.570007,5124100
2021-02-19,173.539993,179.300003,170.529999,174.740005,174.740005,6413600
2021-02-22,167.800003,170.350006,158.580002,159.369995,159.369995,11152700
2021-02-23,151.25,153.0,136.0,150.169998,150.169998,15509200
2021-02-24,150.410004,151.0,143.470001,144.789993,144.789993,9757200
2021-02-25,150.779999,160.979996,145.860001,148.380005,148.380005,15172100
2021-02-26,157.979996,159.600006,150.880005,154.809998,154.809998,13445200
2021-03-01,154.462997,157.779999,145.25,157.399994,157.399994,15351600
2021-03-02,153.5,154.470993,146.440002,146.809998,146.809998,8630600
2021-03-03,146.089996,147.320007,131.0,131.220001,131.220001,13683500
2021-03-04,128.699997,135.470001,126.690002,132.300003,132.300003,10929500
2021-03-05,133.072998,134.270004,121.120003,132.190002,132.190002,12039600
2021-03-08,129.149994,133.550003,122.480003,123.470001,123.470001,6839300
2021-03-09,127.110001,132.300003,125.599998,130.869995,130.869995,7834200
2021-03-10,133.619995,135.714996,128.792999,129.75,129.75,5555900
2021-03-11,132.981995,140.850006,131.479996,140.470001,140.470001,8140100
2021-03-12,134.039993,138.742004,133.199997,136.990005,136.990005,4923100
2021-03-15,136.770004,143.850006,135.009995,143.660004,143.660004,7321700
2021-03-16,148.5,157.75,145.839996,156.020004,156.020004,16991600
2021-03-17,150.25,152.082993,143.25,147.550003,147.550003,12894900
2021-03-18,144.449997,147.610001,140.860001,141.460007,141.460007,7135600
2021-03-19,143.059998,145.179993,138.529999,143.740005,143.740005,6933700
2021-03-22,144.190002,147.919998,141.850006,145.600006,145.600006,6050700
2021-03-23,145.610001,146.190002,136.380005,136.520004,136.520004,6961200
2021-03-24,137.25,137.740005,131.009995,131.610001,131.610001,5864600
2021-03-25,127.330002,134.309998,126.419998,133.330002,133.330002,5696300
2021-03-26,133.380005,135.600006,128.020004,133.279999,133.279999,4047100
2021-03-29,130.110001,131.300003,121.900002,123.419998,123.419998,10814800
2021-03-30,123.150002,123.598,117.341003,118.489998,118.489998,11061600
2021-03-31,121.099998,131.800003,119.328003,130.949997,130.949997,10015700
2021-04-01,132.199997,136.636993,130.339996,132.550003,132.550003,7269700
2021-04-05,132.600006,133.192993,127.040001,129.910004,129.910004,5218300
2021-04-06,130.110001,138.248993,128.160004,133.529999,133.529999,7438200
2021-04-07,132.369995,135.160004,130.210007,131.470001,131.470001,4380000
2021-04-08,132.850006,135.899994,132.059998,133.880005,133.880005,4530000
2021-04-09,133.509995,144.0,133.339996,140.919998,140.919998,9918200
2021-04-12,142.369995,143.490005,136.360001,139.399994,139.399994,6060200
2021-04-13,146.800003,152.110001,145.350006,149.710007,149.710007,13729000
2021-04-14,153.660004,160.919998,152.490005,160.029999,160.029999,15389800
2021-04-15,159.0,163.580002,155.229996,159.869995,159.869995,10340400
2021-04-16,158.679993,171.919998,158.210007,170.809998,170.809998,19044900
2021-04-19,166.610001,168.195999,159.600006,161.910004,161.910004,10006600
2021-04-20,160.320007,162.729996,153.270004,156.779999,156.779999,7154400
2021-04-21,158.600006,170.110001,157.690002,169.5,169.5,11352700
2021-04-22,168.259995,179.0,164.619995,168.100006,168.100006,15922400
2021-04-23,170.304993,175.509995,168.350006,173.630005,173.630005,8791000
2021-04-26,171.789993,179.600006,168.880005,177.610001,177.610001,12201700
2021-04-27,178.360001,185.529999,178.179993,183.410004,183.410004,12925700
2021-04-28,182.369995,182.889999,176.119995,178.679993,178.679993,8375400
2021-04-29,183.326996,186.800003,174.759995,175.669998,175.669998,8362700
2021-04-30,175.589996,184.0,174.520004,178.820007,178.820007,9495200
2021-05-03,183.899994,189.0,182.210007,186.020004,186.020004,14631000
2021-05-04,185.335007,188.490005,171.630005,173.589996,173.589996,16924200
2021-05-05,178.100006,180.699997,156.809998,162.839996,162.839996,18914200
2021-05-06,148.0,163.470001,143.559998,160.5,160.5,29662300
2021-05-07,165.779999,169.020004,160.815994,163.149994,163.149994,11952600
2021-05-10,164.009995,164.759995,155.710007,158.550003,158.550003,8809700
2021-05-11,151.309998,161.990005,150.059998,158.990005,158.990005,8087400
2021-05-12,154.110001,158.910004,151.149994,152.679993,152.679993,5720800
2021-05-13,152.600006,155.619995,146.850006,149.869995,149.869995,5765000
2021-05-14,150.850006,162.460007,150.399994,161.380005,161.380005,6512900
2021-05-17,159.0,163.369995,156.723999,160.429993,160.429993,4231600
2021-05-18,160.160004,165.75,157.899994,159.529999,159.529999,4811400
2021-05-19,155.740005,160.070007,154.509995,157.990005,157.990005,3943700
2021-05-20,159.919998,166.809998,158.889999,165.970001,165.970001,4826300
2021-05-21,168.929993,169.279999,161.350006,161.449997,161.449997,5169100
2021-05-24,162.880997,166.800003,161.009995,164.169998,164.169998,4501300
2021-05-25,166.559998,171.740005,165.100006,169.259995,169.259995,7759900
2021-05-26,168.699997,175.619995,168.509995,175.589996,175.589996,6885200
2021-05-27,174.199997,180.0,173.630005,179.539993,179.539993,10844900
2021-05-28,178.623001,186.639999,178.360001,185.009995,185.009995,8567200
2021-06-01,184.080002,185.279007,178.800003,184.660004,184.660004,6010900
2021-06-02,183.899994,194.5,183.279999,191.600006,191.600006,10142500
2021-06-03,188.889999,200.0,188.632996,195.220001,195.220001,9270200
2021-06-04,197.899994,207.380005,197.330002,206.070007,206.070007,11103300
2021-06-07,207.102997,227.710007,206.419998,219.570007,219.570007,19034400
2021-06-08,220.100006,222.345001,202.5,213.0,213.0,11857600
2021-06-09,212.300003,221.5,212.009995,217.440002,217.440002,8016500
2021-06-10,216.619995,221.880005,207.699997,217.0,217.0,11763100
2021-06-11,211.899994,218.899994,211.800003,218.850006,218.850006,5576000
2021-06-14,213.272995,213.490005,198.0,207.410004,207.410004,11743700
2021-06-15,203.490005,207.850006,199.199997,201.589996,201.589996,6786300
2021-06-16,200.0,203.979996,193.201996,197.839996,197.839996,7264700
2021-06-17,200.0,203.921997,197.720001,202.470001,202.470001,4955200
2021-06-18,201.393005,204.839996,194.509995,199.190002,199.190002,6663800
2021-06-21,200.860001,211.039993,200.0,208.240005,208.240005,7423100
2021-06-22,210.759995,222.404999,210.25,221.360001,221.360001,10066300
2021-06-23,219.979996,224.570007,205.550003,212.039993,212.039993,14558400
2021-06-24,214.380005,221.490005,213.460007,220.139999,220.139999,8171900
2021-06-25,221.259995,226.509995,216.330002,219.940002,219.940002,13315600
2021-06-28,223.0,225.091003,215.600006,222.940002,222.940002,6190600
2021-06-29,221.190002,238.399994,219.330002,234.460007,234.460007,11417000
2021-06-30,237.979996,245.699997,232.410004,234.979996,234.979996,9319100
2021-07-01,236.300003,236.710007,227.669998,235.110001,235.110001,5927500
2021-07-02,235.100006,238.899994,230.139999,234.300003,234.300003,4197800
2021-07-06,229.619995,234.600006,225.429993,233.339996,233.339996,4956500
2021-07-07,231.759995,231.860001,220.820007,221.899994,221.899994,4889300
2021-07-08,215.660004,233.410004,214.070007,232.789993,232.789993,8719400
2021-07-09,231.964996,233.800003,224.279999,232.809998,232.809998,5305100
2021-07-12,230.979996,242.389008,229.199997,239.339996,239.339996,6938200
2021-07-13,239.139999,239.820007,233.800995,235.149994,235.149994,4186400
2021-07-14,237.244995,249.919998,237.220001,246.660004,246.660004,9420400
2021-07-15,246.660004,261.220001,245.505005,259.674988,259.674988,15130800
2021-07-16,276.920013,288.880005,271.5,286.429993,286.429993,41397300
2021-07-19,284.540009,317.880005,283.140015,313.589996,313.589996,35526800
2021-07-20,318.220001,342.51001,292.0,307.329987,307.329987,123115500
2021-07-21,298.51001,325.880005,293.619995,321.109985,321.109985,30859300
2021-07-22,319.0,329.600006,316.290009,323.480011,323.480011,16491300
2021-07-23,330.899994,349.450012,325.170013,348.829987,348.829987,23431400
2021-07-26,352.0,362.0,329.149994,335.869995,335.869995,23387800
2021-07-27,335.30899,344.889008,318.290009,328.5,328.5,17196700
2021-07-28,333.01001,350.98999,327.5,349.320007,349.320007,13091600
2021-07-29,350.640015,351.220001,336.0,345.640015,345.640015,10100700
2021-07-30,346.899994,359.899994,342.279999,353.600006,353.600006,11345700
2021-08-02,360.0,365.600006,343.200012,346.609985,346.609985,13685900
2021-08-03,348.5,386.980011,344.5,386.51001,386.51001,20424100
2021-08-04,385.0,433.0,377.109985,419.049988,419.049988,32251600
2021-08-05,409.720001,443.98999,403.0,416.26001,416.26001,25571500
2021-08-06,410.299988,419.26001,393.609985,413.720001,413.720001,18924600
2021-08-09,411.300995,493.756989,409.660004,484.470001,484.470001,42269900
2021-08-10,485.5,497.48999,454.0,456.76001,456.76001,36503700
2021-08-11,443.570007,453.730011,372.0,385.329987,385.329987,53882200
2021-08-12,400.0,406.350006,377.089996,391.420013,391.420013,34310000
2021-08-13,405.23999,406.320007,387.100006,389.779999,389.779999,16533700
2021-08-16,379.269989,379.570007,349.0,373.859985,373.859985,23403400
2021-08-17,361.0,402.48999,358.549988,401.859985,401.859985,25982100
2021-08-18,406.5,413.299988,386.209991,398.799988,398.799988,19121800
2021-08-19,385.0,394.920013,375.0,375.529999,375.529999,14254700
2021-08-20,374.548004,387.48999,369.26001,382.980011,382.980011,13216700
2021-08-23,390.339996,411.970001,385.772003,411.890015,411.890015,15796500
2021-08-24,405.690002,407.579987,387.559998,394.940002,394.940002,13957500
2021-08-25,391.700012,413.799988,387.970001,397.869995,397.869995,14427600
2021-08-26,395.450012,404.670013,392.153015,400.299988,400.299988,8904400
2021-08-27,398.825012,398.980011,378.720001,382.220001,382.220001,13188500
2021-08-30,369.0,389.040009,362.799988,370.690002,370.690002,15529800
2021-08-31,375.910004,384.679993,370.5,376.690002,376.690002,10922500
2021-09-01,382.837006,394.980011,375.200012,389.940002,389.940002,11617300
2021-09-02,393.130005,402.799988,390.515015,397.660004,397.660004,8902900
2021-09-03,392.709991,416.809998,388.679993,416.700012,416.700012,13835300
2021-09-07,409.5,438.549988,408.959991,436.390015,436.390015,15995100
2021-09-08,433.720001,437.170013,418.200012,422.899994,422.899994,11477800
2021-09-09,429.929993,459.420013,427.089996,455.920013,455.920013,22189600
2021-09-10,463.157013,464.850006,448.109985,449.380005,449.380005,12604800
2021-09-13,448.0,448.809998,415.0,419.720001,419.720001,15664700
2021-09-14,419.269989,443.76001,418.632996,427.709991,427.709991,14736500
2021-09-15,427.454987,437.799988,422.160004,434.459991,434.459991,12893600
2021-09-16,431.209991,446.640015,429.0,440.649994,440.649994,10107400
2021-09-17,438.529999,442.0,406.869995,430.049988,430.049988,30536400
2021-09-20,417.506989,435.450012,416.510986,423.329987,423.329987,12929400
2021-09-21,424.299988,439.589996,420.299988,434.040009,434.040009,9355300
2021-09-22,433.089996,443.730011,428.600006,440.720001,440.720001,9003500
2021-09-23,439.785004,458.5,438.790009,454.600006,454.600006,9620300
2021-09-24,448.079987,453.609985,426.609985,430.140015,430.140015,12984600
2021-09-27,430.601013,434.0,407.255005,408.839996,408.839996,13348200
2021-09-28,398.559998,403.29599,376.029999,384.209991,384.209991,15936000
2021-09-29,393.209991,397.980011,375.553986,378.899994,378.899994,11416700
2021-09-30,381.820007,390.600006,377.100006,384.859985,384.859985,9611500
2021-10-01,358.329987,359.11499,323.410004,341.089996,341.089996,34351300
2021-10-04,308.880005,330.554993,305.0,325.839996,325.839996,23331500
2021-10-05,331.0,338.03299,327.200012,332.109985,332.109985,11637500
2021-10-06,318.709991,325.679993,300.619995,302.420013,302.420013,17457400
2021-10-07,295.459991,317.350006,293.579987,309.359985,309.359985,15791000
2021-10-08,310.799988,314.049988,297.540009,304.910004,304.910004,10631800
2021-10-11,299.320007,314.109985,298.100006,305.100006,305.100006,7625800
2021-10-12,313.035004,315.940002,301.910004,311.130005,311.130005,10193200
2021-10-13,314.899994,327.73999,313.299988,321.5,321.5,12770600
2021-10-14,329.0,337.359985,322.100006,331.880005,331.880005,12851300
2021-10-15,341.01001,341.549011,318.5,324.209991,324.209991,17239800
2021-10-18,322.26001,338.540009,320.536987,334.839996,334.839996,8753700
2021-10-19,339.105011,347.869995,331.01001,333.609985,333.609985,8561100
2021-10-20,334.01001,338.600006,329.359985,333.01001,333.01001,4983200
2021-10-21,337.209991,341.519989,333.399994,339.570007,339.570007,5597600
2021-10-22,332.539001,335.75,317.179993,326.540009,326.540009,7780200
2021-10-25,327.359985,350.059998,323.269989,349.559998,349.559998,9772200
2021-10-26,352.0,356.769989,341.369995,345.73999,345.73999,6673500
2021-10-27,344.25,350.640015,338.339996,340.880005,340.880005,4716000
2021-10-28,343.100006,353.279999,341.540009,347.920013,347.920013,4738900
2021-10-29,344.470001,347.700012,337.25,345.209991,345.209991,4459000
2021-11-01,334.98999,338.070007,320.549988,337.170013,337.170013,8662800
2021-11-02,338.73999,349.450012,337.040009,348.640015,348.640015,5259400
2021-11-03,350.0,350.100006,336.200012,345.920013,345.920013,6447800
2021-11-04,295.809998,297.730011,278.0,284.019989,284.019989,30967700
2021-11-05,241.570007,246.100006,210.960007,236.990005,236.990005,59630300
2021-11-08,233.059998,245.919998,233.059998,244.679993,244.679993,14606800
2021-11-09,246.070007,250.570007,232.210007,236.850006,236.850006,10960300
2021-11-10,230.100006,239.104996,225.570007,228.960007,228.960007,9118500
2021-11-11,227.669998,232.270004,221.600006,225.820007,225.820007,8359400
2021-11-12,225.860001,232.559998,224.419006,231.190002,231.190002,6831800
2021-11-15,230.824997,236.600006,225.630005,235.070007,235.070007,5665200
2021-11-16,234.009995,239.990005,230.285995,234.279999,234.279999,5332000
2021-11-17,234.789993,249.139999,234.570007,242.229996,242.229996,8015800
2021-11-18,246.119995,253.190002,243.789993,251.410004,251.410004,7395600
2021-11-19,265.415009,274.839996,258.089996,263.779999,263.779999,15624000
2021-11-22,268.070007,289.0,264.200012,282.690002,282.690002,13852800
2021-11-23,277.73999,281.980011,269.179993,276.380005,276.380005,6900200
2021-11-24,273.01001,275.279999,266.309998,273.390015,273.390015,4760200
2021-11-26,319.339996,350.149994,313.0,329.630005,329.630005,35901200
2021-11-29,370.329987,376.649994,350.269989,368.51001,368.51001,33950600
2021-11-30,351.579987,357.640015,337.290009,352.429993,352.429993,25159300
2021-12-01,330.0,336.359985,310.570007,310.609985,310.609985,21549200
2021-12-02,301.290009,318.470001,291.029999,301.48999,301.48999,15409500
2021-12-03,318.089996,318.785004,293.600006,306.720001,306.720001,12700100
2021-12-06,280.850006,287.480011,256.559998,265.329987,265.329987,19845000
2021-12-07,268.140015,287.769989,263.070007,282.350006,282.350006,10767100
2021-12-08,282.380005,288.279999,272.910004,283.399994,283.399994,7107700
2021-12-09,285.190002,285.709991,271.329987,272.209991,272.209991,5231800
2021-12-10,235.404999,261.966003,233.509995,257.059998,257.059998,17506600
2021-12-13,257.399994,275.779999,256.971008,271.98999,271.98999,10588700
2021-12-14,264.295013,278.329987,257.200012,277.160004,277.160004,6444900
2021-12-15,271.799011,290.350006,271.549988,283.279999,283.279999,9269500
2021-12-16,284.200012,287.134003,277.070007,282.019989,282.019989,5974300
2021-12-17,275.570007,296.390015,269.0,294.799988,294.799988,10627500
2021-12-20,321.304993,321.304993,275.119995,276.380005,276.380005,16985300
2021-12-21,275.5,281.299988,257.200012,268.140015,268.140015,12537400
2021-12-22,264.059998,267.0,245.5,251.360001,251.360001,13957300
2021-12-23,250.410004,253.649994,238.5,249.990005,249.990005,9839200
2021-12-27,243.0,252.720001,240.580002,246.880005,246.880005,8252300
2021-12-28,245.365005,254.570007,237.580002,241.440002,241.440002,9288000
2021-12-29,239.330002,249.488998,233.199997,247.880005,247.880005,9144600
2021-12-30,243.830002,254.320007,242.134995,251.600006,251.600006,6581800
2021-12-31,249.880005,259.199005,246.699997,253.979996,253.979996,6822000
2022-01-03,247.119995,249.419998,231.080002,235.050003,235.050003,11860900
2022-01-04,232.199997,239.429993,225.240005,233.059998,233.059998,10455000
2022-01-05,232.100006,237.880005,214.600006,215.229996,215.229996,9042200
2022-01-06,216.035004,222.220001,205.229996,216.059998,216.059998,8173000
2022-01-07,216.414001,221.966995,211.949997,213.860001,213.860001,5283100
2022-01-10,211.369995,241.990005,207.5,233.699997,233.699997,17191500
2022-01-11,226.0,228.0,220.279999,221.389999,221.389999,7331200
2022-01-12,220.479996,228.5,218.759995,222.889999,222.889999,5846600
2022-01-13,219.559998,221.5,209.580002,210.169998,210.169998,7405700
2022-01-14,204.009995,212.759995,200.080002,204.729996,204.729996,10167500
2022-01-18,196.914001,198.820007,185.389999,186.610001,186.610001,11030800
2022-01-19,188.839996,191.339996,173.410004,174.070007,174.070007,10597600
2022-01-20,174.990005,177.470001,166.214996,167.520004,167.520004,11489600
2022-01-21,166.229996,171.253998,157.289993,160.070007,160.070007,11801300
2022-01-24,153.470001,158.0,138.169998,157.300003,157.300003,16626800
2022-01-25,156.009995,168.259995,150.0,152.539993,152.539993,11475000
2022-01-26,157.990005,165.850006,152.800003,154.960007,154.960007,9295900
2022-01-27,157.429993,158.279999,146.539993,148.619995,148.619995,8661700
2022-01-28,149.949997,159.869995,146.759995,159.470001,159.470001,6756200
2022-01-31,160.050003,170.330002,154.559998,169.330002,169.330002,9292600
2022-02-01,175.199997,177.570007,167.289993,172.740005,172.740005,7329800
2022-02-02,170.807007,177.199997,163.580002,169.610001,169.610001,5395000
2022-02-03,165.070007,170.100006,163.199997,163.949997,163.949997,4490400
2022-02-04,165.639999,167.5,160.25,163.009995,163.009995,4375700
2022-02-07,162.203003,165.539993,156.270004,160.270004,160.270004,4429300
2022-02-08,155.199997,157.169998,147.570007,153.309998,153.309998,7616400
2022-02-09,154.369995,164.229996,154.173004,164.029999,164.029999,5621600
2022-02-10,158.0,168.669998,157.539993,160.419998,160.419998,5965400
2022-02-11,161.25,168.789993,160.080002,161.320007,161.320007,5249700
2022-02-14,157.526001,159.5,138.139999,142.470001,142.470001,16669500
2022-02-15,142.490005,152.929993,139.210999,151.119995,151.119995,10899700
2022-02-16,147.619995,152.389999,144.5,151.809998,151.809998,5536000
2022-02-17,150.199997,154.660004,145.279999,146.360001,146.360001,6182300
2022-02-18,147.550003,151.455994,141.309998,145.740005,145.740005,5457100
2022-02-22,142.259995,151.199997,141.860001,144.970001,144.970001,6637700
2022-02-23,145.169998,145.718994,134.0,135.729996,135.729996,7822300
2022-02-24,139.865005,156.419998,138.119995,156.229996,156.229996,17396000
2022-02-25,156.020004,156.190002,147.009995,151.330002,151.330002,7818000
2022-02-28,150.979996,155.470001,147.440002,153.600006,153.600006,6601700
2022-03-01,152.479996,156.378998,147.919998,149.520004,149.520004,4842200
2022-03-02,149.440002,150.570007,140.440002,147.860001,147.860001,5393600
2022-03-03,147.899994,149.231995,139.529999,141.520004,141.520004,4623200
2022-03-04,140.820007,143.910004,135.910004,136.460007,136.460007,5503000
2022-03-07,135.119995,138.399994,126.279999,126.459999,126.459999,6177200
2022-03-08,125.0,136.960007,122.010002,129.279999,129.279999,6675700
